# Telescope Reflectivity with 2 silver mirrors
# Columns are (1) wavelength in nm and (2) reflectivity 0-1
# Source: https://www.gemini.edu/sciops/instruments/optics/Gemini_Optics_Reflectivity_Data.xlsx
# Data taken from GN sample from August 2013
# Update 17/05/2017 by A. Shugart at GS


Wavelength (nm)	Looking up
769.5	0.942452518
770	    0.939342255
770.5	0.940441696
771	    0.943605247
771.5	0.940691992
772	    0.939420637
772.5	0.941675835
773	    0.941336505
773.5	0.942507615
774 	0.942367187
774.5	0.944915102
775	    0.943199577
775.5	0.940904986
776	    0.941582432
776.5	0.939720367
777	    0.941969909
777.5	0.94205339
778	    0.938328638
778.5	0.942265918
779	    0.940136875
779.5	0.940768655
780	    0.944723207
780.5	0.941826698
781	    0.942712295
781.5	0.94374712
782	    0.939308296
782.5	0.94389902
783	    0.94224918
783.5	0.941261078
784	    0.940984164
784.5	0.942245468
785	    0.940294412
785.5	0.945849155
786	    0.941705616
786.5	0.942837035
787	    0.945228522
787.5	0.944934283
788	    0.941526086
788.5	0.943659451
789	    0.944226125
789.5	0.942050993
790	    0.943704013
790.5	0.946807768
791	    0.943994131
791.5	0.946349539
792	    0.944498075
792.5	0.945113072
793	    0.942953226
793.5	0.944824376
794	    0.944859908
794.5	0.940590314
795	    0.945230896
795.5	0.946571189
796	    0.945317924
796.5	0.945168089
797	    0.942570602
797.5	0.944380547
798	    0.947478684
798.5	0.944831087
799	    0.944586321
799.5	0.946300035
800	    0.93651306
800.5	0.939714626
801	    0.942167959
801.5	0.941583848
802	    0.939489714
802.5	0.945933058
803	    0.941910515
803.5	0.943027341
804	    0.940865967
804.5	0.94337106
805	    0.945457542
805.5	0.942063276
806	    0.94398052
806.5	0.944060643
807	    0.942663174
807.5	0.942114418
808	    0.944698374
808.5	0.944117603
809	    0.944119669
809.5	0.945258758
810	    0.944223614
810.5	0.943084946
811	    0.944675525
811.5	0.946849257
812	    0.944494562
812.5	0.943146257
813	    0.942456166
813.5	0.944283294
814	    0.942827784
814.5	0.941063938
815	    0.942743315
815.5	0.943181859
816	    0.944271052
816.5	0.942889115
817	    0.942819941
817.5	0.943709117
818	    0.942286173
818.5	0.944783867
819	    0.944544769
819.5	0.944713474
820	    0.942857055
820.5	0.943442292
821	    0.9425615
821.5	0.943513787
822	    0.942590833
822.5	0.946229837
823	    0.944755316
823.5	0.942738306
824	    0.944949088
824.5	0.943982494
825	    0.942789447
825.5	0.943259345
826	    0.944751942
826.5	0.945001003
827	    0.945106842
827.5	0.943283705
828	    0.943703447
828.5	0.944663262
829	    0.945217581
829.5	0.942969562
830	    0.944508474
830.5	0.943576224
831	    0.945055229
831.5	0.94416894
832	    0.94528739
832.5	0.944820946
833	    0.943617994
833.5	0.945555487
834	    0.945005444
834.5	0.943687781
835	    0.945510668
835.5	0.946044087
836	    0.945309866
836.5	0.947169857
837	    0.945765441
837.5	0.945948279
838	    0.944673912
838.5	0.945964789
839	    0.944172072
839.5	0.945130994
840	    0.943617911
840.5	0.943624109
841	    0.945003303
841.5	0.944241045
842	    0.945883667
842.5	0.944015221
843	    0.946198054
843.5	0.944936777
844	    0.946184743
844.5	0.944767116
845	    0.946182544
845.5	0.945075273
846	    0.944922037
846.5	0.94553374
847	    0.944450965
847.5	0.946402532
848	    0.945440972
848.5	0.94546179
849	    0.946054754
849.5	0.946034561
850	    0.94624031
850.5	0.947342527
851	    0.947572573
851.5	0.946850714
852	    0.946070996
852.5	0.946372835
853	    0.946086339
853.5	0.947844708
854 	0.94621812
854.5	0.948069922
855	    0.946450238
855.5	0.947082038
856	    0.947725607
856.5	0.948302369
857	    0.947345599
857.5	0.947298427
858	    0.947926619
858.5	0.949352086
859	    0.947220998
859.5	0.947414354
860	    0.94799118
860.5	0.948993138
861 	0.947731409
861.5	0.947645468
862	    0.948303409
862.5	0.948150357
863	    0.948249927
863.5	0.948055631
864	    0.948555502
864.5	0.949278977
865	    0.948798831
865.5	0.948129714
866	    0.949258684
866.5	0.948161677
867	    0.948166051
867.5	0.947801293
868	    0.945792653
868.5	0.94686495
869	    0.94617323
869.5	0.946840868
870	    0.946250246
870.5	0.945753866
871	    0.945623305
871.5	0.946340503
872	    0.946497964
872.5	0.947365185
873	    0.947242142
873.5	0.946668532
874	    0.946711512
874.5	0.947117798
875	    0.946540561
875.5	0.945614866
876	    0.946661545
876.5	0.946987718
877	    0.945997532
877.5	0.946338564
878	    0.945944698
878.5	0.946429818
879 	0.945040822
879.5	0.945570621
880	    0.945934764
880.5	0.945847235
881	    0.945421387
881.5	0.945190869
882	    0.945938039
882.5	0.945382368
883	    0.945844378
883.5	0.946877153
884	    0.945432988
884.5	0.94571612
885	    0.946715001
885.5	0.946654725
886	    0.947323294
886.5	0.94585587
887	    0.94661271
887.5	0.946143972
888	    0.94496329
888.5	0.946011288
889 	0.947135339
889.5	0.9454947
890	    0.945543181
890.5	0.946541637
891	    0.94747912
891.5	0.946095235
892	    0.946652618
892.5	0.945974204
893	    0.946695339
893.5	0.945371259
894	    0.946716941
894.5	0.947022149
